@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE action {North, East, South, West}

@DATA
11,8,true,false,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,16,23,0,364,North,North
11,9,true,false,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,15,22,0,363,North,North
11,10,true,false,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,14,21,0,362,North,North
11,11,true,false,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,13,20,0,361,North,North
11,12,false,true,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,12,19,0,360,North,East
12,12,false,true,false,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,11,18,0,359,East,East
13,12,false,true,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,10,17,0,358,East,East
14,12,true,true,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,9,16,0,357,East,South
14,11,true,true,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,8,17,0,356,South,South
14,10,true,true,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,7,18,0,355,South,South
14,9,true,false,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,6,19,0,354,South,South
14,8,true,true,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,5,20,0,353,South,South
14,7,true,false,true,true,1,1,3,1,17,6,25,13,6,6,4,2,-1,-1,4,21,0,352,South,South
14,6,true,true,true,true,1,1,3,1,17,6,25,13,6,6,3,2,-1,-1,3,22,0,351,South,East
15,6,false,true,false,true,1,1,3,1,17,6,25,13,6,6,3,2,-1,-1,2,23,0,350,East,East
16,6,false,true,false,true,1,1,3,1,17,6,25,13,6,6,3,2,-1,-1,1,24,0,349,East,East
17,6,false,true,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,25,0,548,East,West
16,6,false,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,24,0,547,West,West
15,6,false,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,23,0,546,West,West
14,6,true,true,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,22,0,545,West,North
14,7,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,21,0,544,North,North
14,8,true,true,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,20,0,543,North,North
14,9,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,19,0,542,North,North
14,10,true,true,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,18,0,541,North,East
15,10,true,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,17,0,540,East,East
16,10,true,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,16,0,539,East,East
17,10,true,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,15,0,538,East,East
18,10,true,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,14,0,537,East,East
19,10,true,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,13,0,536,East,East
20,10,true,true,false,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,12,0,535,East,North
20,11,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,11,0,534,North,North
20,12,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,2,-1,-1,-1,10,0,533,North,North
20,13,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,3,-1,-1,-1,9,0,532,North,North
20,14,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,4,-1,-1,-1,8,0,531,North,North
20,15,true,true,true,false,1,1,3,1,5,1,25,13,6,6,6,4,-1,-1,-1,7,0,530,North,East
21,15,true,true,false,true,1,1,3,1,5,1,25,13,6,6,6,4,-1,-1,-1,6,0,529,East,East
22,15,true,true,true,true,1,1,3,1,5,1,25,13,6,6,6,4,-1,-1,-1,5,0,528,East,East
23,15,true,true,true,true,1,1,3,1,5,1,25,13,6,6,6,4,-1,-1,-1,4,0,527,East,East
24,15,true,true,true,true,1,1,3,1,5,1,25,13,6,6,6,4,-1,-1,-1,3,0,526,East,East
25,15,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,5,-1,-1,-1,2,0,525,East,South
25,14,true,false,true,true,1,1,3,1,5,1,25,13,6,6,6,5,-1,-1,-1,1,0,524,South,South
14,3,false,true,false,true,10,15,13,15,14,15,17,15,8,8,8,2,34,31,30,33,0,0,Stop,West
13,3,false,true,false,true,10,15,13,15,14,15,17,15,8,8,2,2,33,30,31,34,0,-1,West,West
12,3,true,true,false,true,10,15,13,15,14,15,17,15,8,2,2,2,32,29,30,33,0,-2,West,North
12,4,true,false,true,false,10,15,13,15,14,15,17,15,8,2,2,2,31,28,29,32,0,-3,North,North
12,5,false,false,true,true,10,15,13,15,14,15,17,15,8,2,2,2,30,27,28,31,0,-4,North,West
11,5,false,true,false,true,10,15,13,15,14,15,17,15,8,2,2,2,29,26,27,30,0,-5,West,West
10,5,false,true,false,true,10,15,13,15,14,15,17,15,8,2,2,2,28,25,26,29,0,-6,West,West
9,5,true,true,false,false,10,15,13,15,14,15,17,15,2,2,2,2,27,24,25,28,0,-7,West,North
9,6,true,false,true,false,10,15,13,15,14,15,17,15,2,2,2,2,26,23,24,27,0,-8,North,North
9,7,true,false,true,false,10,15,13,15,14,15,17,15,2,2,2,2,25,22,23,26,0,-9,North,North
9,8,false,true,true,true,10,15,13,15,14,15,17,15,2,2,2,2,24,21,22,25,0,-10,North,West
