@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-V-R3-6,10,21-22,27-30'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g2_y numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
false,true,false,true,12,West,6,true,false,false,West
false,true,false,true,12,West,6,true,false,false,West
false,true,false,false,1,West,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
true,true,false,true,1,East,6,false,false,true,East
true,true,false,true,1,East,6,false,false,true,East
true,true,false,true,1,East,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
true,true,true,true,12,Stop,6,false,false,true,East
true,true,true,true,12,East,6,false,false,true,North
true,true,true,true,12,North,6,false,false,true,North
true,true,true,true,12,North,6,false,true,false,South
true,true,true,true,12,South,6,false,true,false,South
true,true,true,true,12,South,6,false,true,false,South
true,true,true,true,12,South,6,false,true,false,South
true,true,true,true,12,South,6,false,true,false,South
true,true,true,true,12,South,6,false,true,false,South
true,true,true,true,12,South,7,false,false,false,West
true,true,true,true,12,West,7,false,false,false,West
true,true,true,true,12,West,7,false,false,false,West
true,true,true,true,12,West,7,false,false,false,West
true,true,true,true,12,West,7,false,false,false,West
true,true,true,true,12,West,7,false,false,false,West
true,true,true,true,12,West,7,false,false,false,West
true,true,true,true,12,West,7,false,false,false,West
true,true,true,true,12,West,6,true,false,false,East
true,true,true,true,12,East,6,true,false,false,North
true,true,true,true,12,North,6,true,false,false,North
true,true,true,true,12,North,6,true,false,false,North
true,true,true,true,12,North,6,true,false,false,North
true,true,true,false,12,North,6,true,false,false,North
true,true,true,true,12,North,6,true,false,false,West
true,true,false,true,12,West,6,true,false,false,North
false,true,true,false,9,Stop,4,true,false,false,East
false,true,false,true,9,East,4,true,false,false,East
false,true,false,true,9,East,4,true,false,false,East
false,true,false,true,9,East,4,true,false,false,East
false,true,true,true,9,East,4,true,false,false,East
false,true,true,true,9,East,5,true,false,false,South
true,false,true,true,9,South,5,true,false,false,South
true,true,true,true,1,South,5,false,true,false,North
true,false,true,true,1,North,5,false,true,false,North
false,true,true,true,1,North,5,false,true,false,East
false,true,false,true,1,East,6,false,true,false,East
false,true,false,true,1,East,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
false,true,true,true,1,East,6,false,false,true,East
false,true,true,true,1,East,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
false,true,false,true,1,East,6,false,false,true,East
false,true,true,true,1,East,6,false,false,true,South
true,false,true,false,1,South,6,false,false,true,South
true,true,true,true,1,South,6,false,false,true,South
true,true,true,true,1,South,6,false,false,true,South
true,true,true,true,1,South,6,false,false,true,South
true,false,true,false,1,South,6,false,false,false,South
true,true,true,true,1,South,7,false,false,false,West
false,true,true,true,1,West,7,false,false,false,West
false,true,false,true,1,West,7,false,false,false,West
false,true,true,true,1,West,7,false,false,false,West
