@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West, Stop}

@DATA
1,18,false,true,true,false,1,3,2,3,5,9,6,6,15,16,19,17,0,4,-8,-9,4,West,5,4,4,4,true,false,false,false,false,false,true,false,South
1,17,true,false,true,false,1,3,2,3,5,9,6,6,14,15,18,16,0,4,-9,-10,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,16,true,true,true,false,1,3,2,3,5,9,6,6,13,14,17,15,0,4,-10,-11,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,15,true,true,true,false,1,3,2,3,5,9,6,6,12,13,16,14,0,4,-11,-12,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,14,true,true,true,false,1,3,2,3,5,9,6,6,11,12,15,13,0,4,-12,-13,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,13,true,false,true,false,1,3,2,3,5,9,6,6,10,11,14,12,0,4,-13,-14,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,12,true,true,true,false,1,3,2,3,5,9,6,6,9,10,13,11,0,4,-14,-15,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,11,true,false,true,false,1,3,2,3,5,9,6,6,8,9,12,10,0,4,-15,-16,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,10,true,false,true,false,1,3,2,3,5,9,6,6,7,8,11,9,0,4,-16,-17,4,South,5,4,4,4,true,false,false,false,false,false,true,false,South
1,9,true,false,true,false,1,3,2,3,5,9,6,6,6,7,10,8,0,4,-17,-18,4,South,5,4,3,4,true,false,false,false,false,false,true,false,South
1,8,true,false,true,false,1,3,2,3,5,9,6,6,5,6,9,7,0,4,-18,-19,4,South,5,4,2,4,true,false,false,false,false,false,true,false,South
1,7,true,false,true,false,1,3,2,3,5,9,6,6,4,5,8,6,0,4,-19,-20,4,South,5,4,2,4,true,false,false,false,false,false,true,false,South
1,6,true,true,true,false,1,3,2,3,5,9,6,6,3,4,7,5,0,4,-20,-21,4,South,5,4,2,3,true,false,false,false,false,false,true,false,South
1,5,true,true,true,false,1,3,2,3,5,9,6,6,2,3,8,6,0,4,-21,-22,4,South,5,4,2,2,true,false,false,false,false,false,true,false,South
1,4,true,true,true,false,1,3,2,3,5,9,6,6,1,2,9,7,0,4,-22,77,3,South,5,4,2,2,true,false,false,false,false,false,true,false,South
1,3,true,true,false,false,1,1,2,3,5,9,6,6,-1,1,10,8,0,3,177,276,2,South,5,3,2,2,false,true,false,false,false,true,false,false,East
2,3,true,true,false,true,1,1,3,1,5,9,6,6,-1,-1,9,7,0,2,376,375,2,East,6,4,2,2,false,false,false,true,false,true,false,false,East
3,3,true,true,false,true,1,1,3,1,5,9,6,6,-1,-1,8,6,0,2,375,374,2,East,6,5,2,2,false,false,false,true,false,true,false,false,East
4,3,true,true,false,true,1,1,3,1,5,9,6,6,-1,-1,7,5,0,2,374,373,2,East,6,6,2,2,false,false,false,true,false,true,false,false,East
5,3,true,true,false,true,1,1,3,1,5,9,6,6,-1,-1,6,4,0,2,373,372,2,East,6,6,8,2,false,false,false,true,true,false,false,false,North
5,4,true,false,true,true,1,1,3,1,5,9,6,6,-1,-1,5,3,0,2,372,371,2,North,6,6,8,2,false,false,false,true,true,false,false,false,North
5,5,true,false,true,true,1,1,3,1,5,9,6,6,-1,-1,4,2,0,2,371,370,2,North,6,6,8,2,false,false,false,true,true,false,false,false,North
