@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36'

@attribute pacx numeric
@attribute pacy numeric
@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_x numeric
@attribute g1_y numeric
@attribute g2_x numeric
@attribute g2_y numeric
@attribute g3_x numeric
@attribute g3_y numeric
@attribute g4_x numeric
@attribute g4_y numeric
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
17,20,false,true,false,true,10,15,13,15,14,15,17,15,12,9,8,11,0,4,West,6,6,6,5,false,false,true,false,West
16,20,false,true,false,true,10,15,13,15,14,15,17,15,11,8,7,10,0,4,West,6,6,6,4,false,false,true,false,West
15,20,false,true,true,false,10,15,13,15,14,15,17,15,10,7,6,9,0,4,West,6,6,6,4,false,false,true,false,South
15,19,true,false,true,false,10,15,13,15,14,15,17,15,9,6,5,8,0,4,South,6,6,6,4,false,false,true,false,South
15,18,true,false,true,false,10,15,13,15,14,15,17,15,8,5,4,7,0,4,South,6,6,6,4,false,false,true,false,South
15,17,true,true,false,true,10,15,13,15,14,15,17,15,7,4,3,6,0,4,South,6,6,6,4,false,false,true,false,West
14,17,false,true,true,true,10,15,13,15,14,15,17,15,6,3,2,5,0,4,West,6,6,5,4,false,false,true,false,South
14,16,true,false,true,true,10,15,13,15,14,15,17,15,5,2,1,4,0,4,South,6,6,5,4,false,false,true,false,South
14,15,true,true,false,true,10,15,13,15,5,1,17,15,4,1,-1,3,0,3,South,7,7,6,3,false,true,false,false,West
13,15,true,true,false,true,10,15,3,1,5,1,17,15,3,-1,-1,4,0,2,West,7,6,6,3,true,false,false,false,West
12,15,false,true,false,true,10,15,3,1,5,1,17,15,2,-1,-1,5,0,2,West,7,6,6,3,true,false,false,false,West
11,15,false,true,false,true,10,15,3,1,5,1,17,15,1,-1,-1,6,0,2,West,7,6,6,3,true,false,false,false,West
10,15,false,true,false,false,1,1,3,1,5,1,17,15,-1,-1,-1,7,0,1,West,6,6,6,3,false,false,false,true,East
11,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,6,0,1,East,6,6,6,3,false,false,false,true,East
12,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,5,0,1,East,6,6,6,3,false,false,false,true,East
13,15,true,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,4,0,1,East,6,6,6,3,false,false,false,true,East
14,15,true,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,3,0,1,East,6,6,6,3,false,false,false,true,East
15,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,2,0,1,East,6,6,6,3,false,false,false,true,East
16,15,false,true,false,true,1,1,3,1,5,1,17,15,-1,-1,-1,1,0,1,East,6,6,6,3,false,false,false,true,East
25,3,true,false,false,true,5,9,11,3,17,6,25,13,38,32,11,24,0,4,Stop,8,7,8,8,false,false,true,false,West
24,3,true,true,false,true,5,9,11,3,17,6,25,13,37,31,10,23,0,4,West,8,7,8,2,false,false,true,false,West
23,3,true,true,false,true,5,9,11,3,17,6,25,13,36,30,9,22,0,4,West,8,7,8,2,false,false,true,false,West
22,3,true,true,false,true,5,9,11,3,17,6,25,13,35,29,8,23,0,4,West,8,7,8,2,false,false,true,false,West
21,3,true,true,false,true,5,9,11,3,17,6,25,13,34,28,7,24,0,4,West,8,7,8,2,false,false,true,false,West
20,3,true,true,false,true,5,9,11,3,17,6,25,13,33,27,6,25,0,4,West,8,7,8,2,false,false,true,false,West
19,3,true,true,false,true,5,9,11,3,17,6,25,13,32,26,5,26,0,4,West,8,7,8,2,false,false,true,false,West
18,3,true,true,false,true,5,9,11,3,17,6,25,13,31,25,4,27,0,4,West,8,7,8,2,false,false,true,false,West
17,3,true,true,false,true,5,9,11,3,17,6,25,13,30,24,3,28,0,4,West,8,7,8,2,false,false,true,false,North
17,4,true,true,true,true,5,9,11,3,17,6,25,13,29,23,2,27,0,4,North,8,6,8,2,false,false,true,false,North
17,5,true,true,true,false,5,9,11,3,17,6,25,13,28,22,1,26,0,4,North,8,6,8,2,false,false,true,false,North
17,6,false,true,true,true,5,9,11,3,5,1,25,13,27,21,-1,25,0,3,North,8,6,6,2,false,true,false,false,West
16,6,false,true,false,true,5,9,11,3,5,1,25,13,26,20,-1,24,0,3,West,8,6,6,2,false,true,false,false,West
15,6,false,true,false,true,5,9,11,3,5,1,25,13,25,19,-1,23,0,3,West,8,6,6,2,false,true,false,false,West
14,6,true,true,true,true,5,9,11,3,5,1,25,13,24,18,-1,22,0,3,West,8,6,6,2,false,true,false,false,West
13,6,true,true,true,false,5,9,11,3,5,1,25,13,23,17,-1,23,0,3,West,8,6,6,2,false,true,false,false,North
13,7,true,true,true,false,5,9,11,3,5,1,25,13,22,16,-1,22,0,3,North,8,6,6,2,false,true,false,false,North
13,8,true,true,true,false,5,9,11,3,5,1,25,13,21,15,-1,21,0,3,North,8,6,6,2,false,true,false,false,North
13,9,true,true,true,false,5,9,11,3,5,1,25,13,20,14,-1,20,0,3,North,7,6,6,2,false,true,false,false,North
13,10,true,true,true,false,5,9,11,3,5,1,25,13,19,13,-1,19,0,3,North,6,6,6,2,false,true,false,false,North
13,11,true,true,true,false,5,9,11,3,5,1,25,13,18,12,-1,18,0,3,North,6,6,6,2,false,true,false,false,North
13,12,false,true,true,true,5,9,11,3,5,1,25,13,17,11,-1,17,0,3,North,6,6,6,2,false,true,false,false,West
12,12,false,true,false,true,5,9,11,3,5,1,25,13,16,10,-1,18,0,3,West,6,6,6,2,false,true,false,false,West
11,12,false,true,true,true,5,9,11,3,5,1,25,13,15,9,-1,19,0,3,West,6,5,6,2,false,true,false,false,South
11,11,true,false,true,true,5,9,11,3,5,1,25,13,14,8,-1,20,0,3,South,6,5,6,2,false,true,false,false,South
11,10,true,false,true,true,5,9,11,3,5,1,25,13,13,7,-1,21,0,3,South,6,5,6,2,false,true,false,false,South
11,9,true,false,true,true,5,9,11,3,5,1,25,13,12,6,-1,22,0,3,South,7,5,6,2,false,true,false,false,South
11,8,true,false,true,true,5,9,11,3,5,1,25,13,11,5,-1,23,0,3,South,8,5,6,2,false,true,false,false,South
11,7,true,false,true,true,5,9,11,3,5,1,25,13,10,4,-1,24,0,3,South,8,5,6,2,false,true,false,false,South
11,6,true,false,true,true,5,9,11,3,5,1,25,13,9,3,-1,25,0,3,South,8,5,6,2,false,true,false,false,South
11,5,true,false,true,true,5,9,11,3,5,1,25,13,10,2,-1,26,0,3,South,8,5,6,2,false,true,false,false,South
11,4,true,false,true,true,5,9,11,3,5,1,25,13,11,1,-1,27,0,3,South,8,5,6,2,false,true,false,false,South
11,3,true,false,false,true,5,9,3,1,5,1,25,13,12,-1,-1,28,0,2,South,8,6,6,2,true,false,false,false,West
10,3,true,true,false,true,5,9,3,1,5,1,25,13,11,-1,-1,29,0,2,West,8,6,6,2,true,false,false,false,West
9,3,true,true,false,true,5,9,3,1,5,1,25,13,10,-1,-1,30,0,2,West,8,6,6,2,true,false,false,false,West
8,3,true,true,false,true,5,9,3,1,5,1,25,13,9,-1,-1,31,0,2,West,8,6,6,2,true,false,false,false,West
7,3,false,true,false,true,5,9,3,1,5,1,25,13,8,-1,-1,32,0,2,West,8,6,6,2,true,false,false,false,West
6,3,false,true,false,true,5,9,3,1,5,1,25,13,7,-1,-1,33,0,2,West,8,6,6,2,true,false,false,false,West
5,3,true,true,false,true,5,9,3,1,5,1,25,13,6,-1,-1,34,0,2,West,8,6,5,2,true,false,false,false,North
5,4,true,false,true,true,5,9,3,1,5,1,25,13,5,-1,-1,33,0,2,North,8,6,5,2,true,false,false,false,North
5,5,true,false,true,true,5,9,3,1,5,1,25,13,4,-1,-1,32,0,2,North,8,6,5,2,true,false,false,false,North
5,6,true,true,true,true,5,9,3,1,5,1,25,13,3,-1,-1,31,0,2,North,8,6,5,2,true,false,false,false,North
5,7,true,true,true,true,5,9,3,1,5,1,25,13,2,-1,-1,32,0,2,North,8,6,5,2,true,false,false,false,North
5,8,true,true,true,true,5,9,3,1,5,1,25,13,1,-1,-1,33,0,2,North,8,6,5,2,true,false,false,false,North
5,9,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,34,0,1,North,6,6,5,2,false,false,false,true,East
6,9,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,33,0,1,East,6,6,6,2,false,false,false,true,South
6,8,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,32,0,1,South,6,6,6,2,false,false,false,true,South
6,7,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,31,0,1,South,6,6,6,2,false,false,false,true,South
6,6,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,30,0,1,South,6,6,6,2,false,false,false,true,East
7,6,false,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,29,0,1,East,6,6,6,2,false,false,false,true,East
8,6,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,28,0,1,East,6,6,6,2,false,false,false,true,East
9,6,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,27,0,1,East,6,6,6,2,false,false,false,true,East
10,6,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,26,0,1,East,6,6,6,2,false,false,false,true,East
11,6,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,25,0,1,East,6,6,6,2,false,false,false,true,North
11,7,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,24,0,1,North,6,6,6,2,false,false,false,true,North
11,8,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,23,0,1,North,6,6,6,2,false,false,false,true,North
11,9,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,22,0,1,North,6,6,6,2,false,false,false,true,North
11,10,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,21,0,1,North,6,6,6,2,false,false,false,true,North
11,11,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,20,0,1,North,6,6,6,2,false,false,false,true,North
11,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,19,0,1,North,6,6,6,2,false,false,false,true,East
12,12,false,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,18,0,1,East,6,6,6,2,false,false,false,true,East
13,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,17,0,1,East,6,6,6,2,false,false,false,true,East
14,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,16,0,1,East,6,6,6,2,false,false,false,true,East
15,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,15,0,1,East,6,6,6,2,false,false,false,true,East
16,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,14,0,1,East,6,6,6,2,false,false,false,true,East
17,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,13,0,1,East,6,6,6,2,false,false,false,true,East
18,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,12,0,1,East,6,6,6,2,false,false,false,true,East
19,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,11,0,1,East,6,6,6,2,false,false,false,true,East
20,12,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,10,0,1,East,6,6,6,2,false,false,false,true,North
20,13,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,9,0,1,North,6,6,6,3,false,false,false,true,North
20,14,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,8,0,1,North,6,6,6,4,false,false,false,true,North
20,15,true,true,true,false,1,1,3,1,5,1,25,13,-1,-1,-1,7,0,1,North,6,6,6,4,false,false,false,true,East
21,15,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,6,0,1,East,6,6,6,4,false,false,false,true,East
22,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,5,0,1,East,6,6,6,4,false,false,false,true,East
23,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,4,0,1,East,6,6,6,4,false,false,false,true,East
24,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,3,0,1,East,6,6,6,4,false,false,false,true,East
25,15,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,2,0,1,East,6,6,6,5,false,false,false,true,South
25,14,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,1,0,1,South,6,6,6,5,false,false,false,true,South
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,Stop,4,4,4,4,true,false,false,false,South
1,17,true,false,true,false,5,9,11,3,17,6,25,13,18,24,27,30,0,4,South,4,4,4,4,true,false,false,false,South
1,16,true,true,true,false,5,9,11,3,17,6,25,13,17,23,26,29,0,4,South,4,4,4,4,true,false,false,false,South
1,15,true,true,true,false,5,9,11,3,17,6,25,13,16,22,25,28,0,4,South,4,4,4,4,true,false,false,false,South
1,14,true,true,true,false,5,9,11,3,17,6,25,13,15,21,24,29,0,4,South,4,4,4,4,true,false,false,false,South
1,13,true,false,true,false,5,9,11,3,17,6,25,13,14,20,23,30,0,4,South,4,4,4,3,true,false,false,false,South
1,12,true,true,true,false,5,9,11,3,17,6,25,13,13,19,22,29,0,4,South,4,4,4,2,true,false,false,false,South
1,11,true,false,true,false,5,9,11,3,17,6,25,13,12,18,23,30,0,4,South,4,4,4,2,true,false,false,false,South
1,10,true,false,true,false,5,9,11,3,17,6,25,13,11,17,24,31,0,4,South,4,4,4,2,true,false,false,false,South
1,9,true,false,true,false,5,9,11,3,17,6,25,13,10,16,25,32,0,4,South,3,4,4,2,true,false,false,false,South
1,8,true,false,true,false,5,9,11,3,17,6,25,13,9,15,26,33,0,4,South,2,4,4,2,true,false,false,false,South
1,7,true,false,true,false,5,9,11,3,17,6,25,13,8,14,27,34,0,4,South,2,4,4,2,true,false,false,false,South
1,6,true,true,true,false,5,9,11,3,17,6,25,13,7,13,28,35,0,4,South,2,4,3,2,true,false,false,false,East
2,6,false,true,true,true,5,9,11,3,17,6,25,13,6,12,27,34,0,4,East,2,4,3,2,true,false,false,false,East
3,6,true,true,true,true,5,9,11,3,17,6,25,13,5,11,26,33,0,4,East,2,4,3,2,true,false,false,false,East
4,6,true,true,true,true,5,9,11,3,17,6,25,13,4,10,25,32,0,4,East,2,4,3,2,true,false,false,false,East
5,6,true,true,true,true,5,9,11,3,17,6,25,13,3,9,24,31,0,4,East,8,4,3,2,true,false,false,false,North
5,7,true,true,true,true,5,9,11,3,17,6,25,13,2,10,25,32,0,4,North,8,4,4,2,true,false,false,false,North
5,8,true,true,true,true,5,9,11,3,17,6,25,13,1,11,26,33,0,4,North,8,4,4,2,true,false,false,false,North
5,9,true,true,true,true,1,1,11,3,17,6,25,13,-1,12,27,34,0,3,North,6,4,4,2,false,true,false,false,East
6,9,true,false,true,true,1,1,11,3,17,6,25,13,-1,11,26,33,0,3,East,6,4,4,2,false,true,false,false,South
6,8,true,false,true,true,1,1,11,3,17,6,25,13,-1,10,25,32,0,3,South,6,4,4,2,false,true,false,false,South
6,7,true,false,true,true,1,1,11,3,17,6,25,13,-1,9,24,31,0,3,South,6,4,4,2,false,true,false,false,South
6,6,true,true,false,true,1,1,11,3,17,6,25,13,-1,8,23,30,0,3,South,6,4,3,2,false,true,false,false,East
7,6,false,true,false,true,1,1,11,3,17,6,25,13,-1,7,22,29,0,3,East,6,4,3,2,false,true,false,false,East
8,6,true,true,true,true,1,1,11,3,17,6,25,13,-1,6,21,28,0,3,East,6,4,3,2,false,true,false,false,East
9,6,true,true,true,true,1,1,11,3,17,6,25,13,-1,5,20,27,0,3,East,6,4,3,2,false,true,false,false,East
10,6,true,true,true,true,1,1,11,3,17,6,25,13,-1,4,19,26,0,3,East,6,4,3,2,false,true,false,false,East
11,6,true,false,true,true,1,1,11,3,17,6,25,13,-1,3,18,25,0,3,East,6,5,3,2,false,true,false,false,South
11,5,true,false,true,true,1,1,11,3,17,6,25,13,-1,2,19,26,0,3,South,6,5,2,2,false,true,false,false,South
11,4,true,false,true,true,1,1,11,3,17,6,25,13,-1,1,20,27,0,3,South,6,5,2,2,false,true,false,false,South
11,3,true,false,false,true,1,1,3,1,17,6,25,13,-1,-1,21,28,0,2,South,6,6,2,2,false,false,true,false,North
11,4,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,20,27,0,2,North,6,6,2,2,false,false,true,false,North
11,5,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,19,26,0,2,North,6,6,2,2,false,false,true,false,North
11,6,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,18,25,0,2,North,6,6,3,2,false,false,true,false,North
11,7,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,17,24,0,2,North,6,6,4,2,false,false,true,false,North
11,8,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,16,23,0,2,North,6,6,4,2,false,false,true,false,North
11,9,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,15,22,0,2,North,6,6,4,2,false,false,true,false,North
11,10,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,14,21,0,2,North,6,6,4,2,false,false,true,false,North
11,11,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,13,20,0,2,North,6,6,4,2,false,false,true,false,North
11,12,false,true,true,true,1,1,3,1,17,6,25,13,-1,-1,12,19,0,2,North,6,6,4,2,false,false,true,false,East
12,12,false,true,false,true,1,1,3,1,17,6,25,13,-1,-1,11,18,0,2,East,6,6,4,2,false,false,true,false,East
