@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
true,true,true,true,-1,-1,-1,13,0,1,East,6,6,6,2,false,false,false,true,East
true,true,true,true,-1,-1,-1,12,0,1,East,6,6,6,2,false,false,false,true,East
true,true,true,true,-1,-1,-1,11,0,1,East,6,6,6,2,false,false,false,true,East
true,false,true,true,-1,-1,-1,10,0,1,East,6,6,6,2,false,false,false,true,North
true,false,true,true,-1,-1,-1,9,0,1,North,6,6,6,3,false,false,false,true,North
true,false,true,true,-1,-1,-1,8,0,1,North,6,6,6,4,false,false,false,true,North
true,true,true,false,-1,-1,-1,7,0,1,North,6,6,6,4,false,false,false,true,East
true,true,false,true,-1,-1,-1,6,0,1,East,6,6,6,4,false,false,false,true,East
true,true,true,true,-1,-1,-1,5,0,1,East,6,6,6,4,false,false,false,true,East
true,true,true,true,-1,-1,-1,4,0,1,East,6,6,6,4,false,false,false,true,East
true,true,true,true,-1,-1,-1,3,0,1,East,6,6,6,4,false,false,false,true,East
true,false,true,true,-1,-1,-1,2,0,1,East,6,6,6,5,false,false,false,true,South
true,false,true,true,-1,-1,-1,1,0,1,South,6,6,6,5,false,false,false,true,South
false,true,true,false,19,25,28,29,0,4,Stop,4,4,4,4,true,false,false,false,South
true,false,true,false,18,24,27,30,0,4,South,4,4,4,4,true,false,false,false,South
true,true,true,false,17,23,26,29,0,4,South,4,4,4,4,true,false,false,false,South
true,true,true,false,16,22,25,28,0,4,South,4,4,4,4,true,false,false,false,South
true,true,true,false,15,21,24,29,0,4,South,4,4,4,4,true,false,false,false,South
true,false,true,false,14,20,23,30,0,4,South,4,4,4,3,true,false,false,false,South
true,true,true,false,13,19,22,29,0,4,South,4,4,4,2,true,false,false,false,South
true,false,true,false,12,18,23,30,0,4,South,4,4,4,2,true,false,false,false,South
true,false,true,false,11,17,24,31,0,4,South,4,4,4,2,true,false,false,false,South
true,false,true,false,10,16,25,32,0,4,South,3,4,4,2,true,false,false,false,South
true,false,true,false,9,15,26,33,0,4,South,2,4,4,2,true,false,false,false,South
