@relation pacman-weka.filters.unsupervised.attribute.Remove-R25-36

@attribute pacx numeric
@attribute pacy numeric
@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_x numeric
@attribute g1_y numeric
@attribute g2_x numeric
@attribute g2_y numeric
@attribute g3_x numeric
@attribute g3_y numeric
@attribute g4_x numeric
@attribute g4_y numeric
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute score numeric
@attribute future_score numeric
@attribute future_alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute action {North,East,South,West}

@data
17,4,true,true,true,true,5,9,11,3,17,6,25,13,29,23,2,27,0,4,-9,-10,4,North,North
17,5,true,true,true,false,5,9,11,3,17,6,25,13,28,22,1,26,0,4,-10,89,3,North,North
17,6,false,true,true,true,5,9,11,3,5,1,25,13,27,21,-1,25,0,3,189,188,3,North,West
16,6,false,true,false,true,5,9,11,3,5,1,25,13,26,20,-1,24,0,3,188,187,3,West,West
15,6,false,true,false,true,5,9,11,3,5,1,25,13,25,19,-1,23,0,3,187,186,3,West,West
14,6,true,true,true,true,5,9,11,3,5,1,25,13,24,18,-1,22,0,3,186,185,3,West,West
13,6,true,true,true,false,5,9,11,3,5,1,25,13,23,17,-1,23,0,3,185,184,3,West,North
13,7,true,true,true,false,5,9,11,3,5,1,25,13,22,16,-1,22,0,3,184,183,3,North,North
13,8,true,true,true,false,5,9,11,3,5,1,25,13,21,15,-1,21,0,3,183,182,3,North,North
13,9,true,true,true,false,5,9,11,3,5,1,25,13,20,14,-1,20,0,3,182,181,3,North,North
13,10,true,true,true,false,5,9,11,3,5,1,25,13,19,13,-1,19,0,3,181,180,3,North,North
13,11,true,true,true,false,5,9,11,3,5,1,25,13,18,12,-1,18,0,3,180,179,3,North,North
13,12,false,true,true,true,5,9,11,3,5,1,25,13,17,11,-1,17,0,3,179,178,3,North,West
12,12,false,true,false,true,5,9,11,3,5,1,25,13,16,10,-1,18,0,3,178,177,3,West,West
11,12,false,true,true,true,5,9,11,3,5,1,25,13,15,9,-1,19,0,3,177,176,3,West,South
11,11,true,false,true,true,5,9,11,3,5,1,25,13,14,8,-1,20,0,3,176,175,3,South,South
11,10,true,false,true,true,5,9,11,3,5,1,25,13,13,7,-1,21,0,3,175,174,3,South,South
11,9,true,false,true,true,5,9,11,3,5,1,25,13,12,6,-1,22,0,3,174,173,3,South,South
11,8,true,false,true,true,5,9,11,3,5,1,25,13,11,5,-1,23,0,3,173,172,3,South,South
11,7,true,false,true,true,5,9,11,3,5,1,25,13,10,4,-1,24,0,3,172,171,3,South,South
11,6,true,false,true,true,5,9,11,3,5,1,25,13,9,3,-1,25,0,3,171,170,3,South,South
11,5,true,false,true,true,5,9,11,3,5,1,25,13,10,2,-1,26,0,3,170,169,3,South,South
11,4,true,false,true,true,5,9,11,3,5,1,25,13,11,1,-1,27,0,3,169,268,2,South,South
11,3,true,false,false,true,5,9,3,1,5,1,25,13,12,-1,-1,28,0,2,368,367,2,South,West
10,3,true,true,false,true,5,9,3,1,5,1,25,13,11,-1,-1,29,0,2,367,366,2,West,West
9,3,true,true,false,true,5,9,3,1,5,1,25,13,10,-1,-1,30,0,2,366,365,2,West,West
8,3,true,true,false,true,5,9,3,1,5,1,25,13,9,-1,-1,31,0,2,365,364,2,West,West
7,3,false,true,false,true,5,9,3,1,5,1,25,13,8,-1,-1,32,0,2,364,363,2,West,West
6,3,false,true,false,true,5,9,3,1,5,1,25,13,7,-1,-1,33,0,2,363,362,2,West,West
5,3,true,true,false,true,5,9,3,1,5,1,25,13,6,-1,-1,34,0,2,362,361,2,West,North
5,4,true,false,true,true,5,9,3,1,5,1,25,13,5,-1,-1,33,0,2,361,360,2,North,North
5,5,true,false,true,true,5,9,3,1,5,1,25,13,4,-1,-1,32,0,2,360,359,2,North,North
5,6,true,true,true,true,5,9,3,1,5,1,25,13,3,-1,-1,31,0,2,359,358,2,North,North
5,7,true,true,true,true,5,9,3,1,5,1,25,13,2,-1,-1,32,0,2,358,357,2,North,North
5,8,true,true,true,true,5,9,3,1,5,1,25,13,1,-1,-1,33,0,2,357,456,1,North,North
5,9,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,34,0,1,556,555,1,North,East
6,9,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,33,0,1,555,554,1,East,South
6,8,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,32,0,1,554,553,1,South,South
6,7,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,31,0,1,553,552,1,South,South
6,6,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,30,0,1,552,551,1,South,East
7,6,false,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,29,0,1,551,550,1,East,East
8,6,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,28,0,1,550,549,1,East,East
9,6,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,27,0,1,549,548,1,East,East
10,6,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,26,0,1,548,547,1,East,East
11,6,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,25,0,1,547,546,1,East,North
11,7,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,24,0,1,546,545,1,North,North
11,8,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,23,0,1,545,544,1,North,North
11,9,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,22,0,1,544,543,1,North,North
11,10,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,21,0,1,543,542,1,North,North
11,11,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,20,0,1,542,541,1,North,North
11,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,19,0,1,541,540,1,North,East
12,12,false,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,18,0,1,540,539,1,East,East
13,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,17,0,1,539,538,1,East,East
14,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,16,0,1,538,537,1,East,East
15,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,15,0,1,537,536,1,East,East
16,12,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,14,0,1,536,535,1,East,East
17,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,13,0,1,535,534,1,East,East
18,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,12,0,1,534,533,1,East,East
19,12,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,11,0,1,533,532,1,East,East
20,12,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,10,0,1,532,531,1,East,North
20,13,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,9,0,1,531,530,1,North,North
20,14,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,8,0,1,530,529,1,North,North
20,15,true,true,true,false,1,1,3,1,5,1,25,13,-1,-1,-1,7,0,1,529,528,1,North,East
21,15,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,6,0,1,528,527,1,East,East
22,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,5,0,1,527,526,1,East,East
23,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,4,0,1,526,525,1,East,East
24,15,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,3,0,1,525,524,1,East,East
25,15,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,2,0,1,524,523,1,East,South
25,14,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,1,0,1,523,622,0,South,South
1,18,false,true,true,false,5,9,11,3,17,6,25,13,19,25,28,29,0,4,0,-1,4,Stop,South
1,17,true,false,true,false,5,9,11,3,17,6,25,13,18,24,27,30,0,4,-1,-2,4,South,South
1,16,true,true,true,false,5,9,11,3,17,6,25,13,17,23,26,29,0,4,-2,-3,4,South,South
1,15,true,true,true,false,5,9,11,3,17,6,25,13,16,22,25,28,0,4,-3,-4,4,South,South
1,14,true,true,true,false,5,9,11,3,17,6,25,13,15,21,24,29,0,4,-4,-5,4,South,South
1,13,true,false,true,false,5,9,11,3,17,6,25,13,14,20,23,30,0,4,-5,-6,4,South,South
1,12,true,true,true,false,5,9,11,3,17,6,25,13,13,19,22,29,0,4,-6,-7,4,South,South
1,11,true,false,true,false,5,9,11,3,17,6,25,13,12,18,23,30,0,4,-7,-8,4,South,South
1,10,true,false,true,false,5,9,11,3,17,6,25,13,11,17,24,31,0,4,-8,-9,4,South,South
1,9,true,false,true,false,5,9,11,3,17,6,25,13,10,16,25,32,0,4,-9,-10,4,South,South
1,8,true,false,true,false,5,9,11,3,17,6,25,13,9,15,26,33,0,4,-10,-11,4,South,South
1,7,true,false,true,false,5,9,11,3,17,6,25,13,8,14,27,34,0,4,-11,-12,4,South,South
1,6,true,true,true,false,5,9,11,3,17,6,25,13,7,13,28,35,0,4,-12,-13,4,South,East
2,6,false,true,true,true,5,9,11,3,17,6,25,13,6,12,27,34,0,4,-13,-14,4,East,East
3,6,true,true,true,true,5,9,11,3,17,6,25,13,5,11,26,33,0,4,-14,-15,4,East,East
4,6,true,true,true,true,5,9,11,3,17,6,25,13,4,10,25,32,0,4,-15,-16,4,East,East
5,6,true,true,true,true,5,9,11,3,17,6,25,13,3,9,24,31,0,4,-16,-17,4,East,North
5,7,true,true,true,true,5,9,11,3,17,6,25,13,2,10,25,32,0,4,-17,-18,4,North,North
5,8,true,true,true,true,5,9,11,3,17,6,25,13,1,11,26,33,0,4,-18,81,3,North,North
5,9,true,true,true,true,1,1,11,3,17,6,25,13,-1,12,27,34,0,3,181,180,3,North,East
6,9,true,false,true,true,1,1,11,3,17,6,25,13,-1,11,26,33,0,3,180,179,3,East,South
6,8,true,false,true,true,1,1,11,3,17,6,25,13,-1,10,25,32,0,3,179,178,3,South,South
6,7,true,false,true,true,1,1,11,3,17,6,25,13,-1,9,24,31,0,3,178,177,3,South,South
6,6,true,true,false,true,1,1,11,3,17,6,25,13,-1,8,23,30,0,3,177,176,3,South,East
7,6,false,true,false,true,1,1,11,3,17,6,25,13,-1,7,22,29,0,3,176,175,3,East,East
8,6,true,true,true,true,1,1,11,3,17,6,25,13,-1,6,21,28,0,3,175,174,3,East,East
9,6,true,true,true,true,1,1,11,3,17,6,25,13,-1,5,20,27,0,3,174,173,3,East,East
10,6,true,true,true,true,1,1,11,3,17,6,25,13,-1,4,19,26,0,3,173,172,3,East,East
11,6,true,false,true,true,1,1,11,3,17,6,25,13,-1,3,18,25,0,3,172,171,3,East,South
11,5,true,false,true,true,1,1,11,3,17,6,25,13,-1,2,19,26,0,3,171,170,3,South,South
11,4,true,false,true,true,1,1,11,3,17,6,25,13,-1,1,20,27,0,3,170,269,2,South,South
11,3,true,false,false,true,1,1,3,1,17,6,25,13,-1,-1,21,28,0,2,369,368,2,South,North
11,4,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,20,27,0,2,368,367,2,North,North
11,5,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,19,26,0,2,367,366,2,North,North
11,6,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,18,25,0,2,366,365,2,North,North
11,7,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,17,24,0,2,365,364,2,North,North
11,8,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,16,23,0,2,364,363,2,North,North
11,9,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,15,22,0,2,363,362,2,North,North
11,10,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,14,21,0,2,362,361,2,North,North
11,11,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,13,20,0,2,361,360,2,North,North
11,12,false,true,true,true,1,1,3,1,17,6,25,13,-1,-1,12,19,0,2,360,359,2,North,East
12,12,false,true,false,true,1,1,3,1,17,6,25,13,-1,-1,11,18,0,2,359,358,2,East,East
13,12,false,true,true,true,1,1,3,1,17,6,25,13,-1,-1,10,17,0,2,358,357,2,East,East
14,12,true,true,true,true,1,1,3,1,17,6,25,13,-1,-1,9,16,0,2,357,356,2,East,South
14,11,true,true,true,true,1,1,3,1,17,6,25,13,-1,-1,8,17,0,2,356,355,2,South,South
14,10,true,true,true,true,1,1,3,1,17,6,25,13,-1,-1,7,18,0,2,355,354,2,South,South
14,9,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,6,19,0,2,354,353,2,South,South
14,8,true,true,true,true,1,1,3,1,17,6,25,13,-1,-1,5,20,0,2,353,352,2,South,South
14,7,true,false,true,true,1,1,3,1,17,6,25,13,-1,-1,4,21,0,2,352,351,2,South,South
14,6,true,true,true,true,1,1,3,1,17,6,25,13,-1,-1,3,22,0,2,351,350,2,South,East
15,6,false,true,false,true,1,1,3,1,17,6,25,13,-1,-1,2,23,0,2,350,349,2,East,East
16,6,false,true,false,true,1,1,3,1,17,6,25,13,-1,-1,1,24,0,2,349,448,1,East,East
17,6,false,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,25,0,1,548,547,1,East,West
16,6,false,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,24,0,1,547,546,1,West,West
15,6,false,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,23,0,1,546,545,1,West,West
14,6,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,22,0,1,545,544,1,West,North
14,7,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,21,0,1,544,543,1,North,North
14,8,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,20,0,1,543,542,1,North,North
14,9,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,19,0,1,542,541,1,North,North
14,10,true,true,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,18,0,1,541,540,1,North,East
15,10,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,17,0,1,540,539,1,East,East
16,10,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,16,0,1,539,538,1,East,East
17,10,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,15,0,1,538,537,1,East,East
18,10,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,14,0,1,537,536,1,East,East
19,10,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,13,0,1,536,535,1,East,East
20,10,true,true,false,true,1,1,3,1,5,1,25,13,-1,-1,-1,12,0,1,535,534,1,East,North
20,11,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,11,0,1,534,533,1,North,North
20,12,true,false,true,true,1,1,3,1,5,1,25,13,-1,-1,-1,10,0,1,533,532,1,North,North
