@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
8,6,false,true,false,true,1,1,3,1,11,3,16,6,-1,-1,8,8,0,2,389,388,2,East,6,6,4,3,false,false,true,false,false,false,false,true,West
7,6,false,true,true,true,1,1,3,1,11,3,16,6,-1,-1,7,9,0,2,388,387,2,West,6,6,4,3,false,false,true,false,false,false,true,false,South
7,5,true,false,true,false,1,1,3,1,11,3,16,6,-1,-1,6,10,0,2,387,386,2,South,6,6,4,2,false,false,true,false,false,false,true,false,South
7,4,true,true,true,true,1,1,3,1,11,3,16,6,-1,-1,5,11,0,2,386,385,2,South,6,6,4,2,false,false,true,false,false,true,false,false,East
8,4,false,true,true,true,1,1,3,1,11,3,16,6,-1,-1,4,10,0,2,385,384,2,East,6,6,4,2,false,false,true,false,false,true,false,false,East
9,4,false,true,true,true,1,1,3,1,11,3,16,6,-1,-1,3,9,0,2,384,383,2,East,6,6,4,2,false,false,true,false,false,true,false,false,East
10,4,false,true,true,true,1,1,3,1,11,3,16,6,-1,-1,2,8,0,2,383,382,2,East,6,6,4,2,false,false,true,false,false,true,false,false,East
11,4,false,true,true,true,1,1,3,1,11,3,16,6,-1,-1,1,7,0,2,382,481,1,East,6,6,5,2,false,false,true,false,false,false,true,false,South
11,3,true,true,false,true,1,1,3,1,5,1,16,6,-1,-1,-1,8,0,1,581,580,1,South,6,6,6,2,false,false,false,true,false,true,false,false,East
12,3,true,true,false,true,1,1,3,1,5,1,16,6,-1,-1,-1,7,0,1,580,579,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
13,3,true,true,false,true,1,1,3,1,5,1,16,6,-1,-1,-1,6,0,1,579,578,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
14,3,true,true,false,true,1,1,3,1,5,1,16,6,-1,-1,-1,5,0,1,578,577,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
15,3,true,true,false,true,1,1,3,1,5,1,16,6,-1,-1,-1,4,0,1,577,576,1,East,6,6,6,2,false,false,false,true,false,true,false,false,East
16,3,true,true,false,true,1,1,3,1,5,1,16,6,-1,-1,-1,3,0,1,576,575,1,East,6,6,6,8,false,false,false,true,true,false,false,false,North
16,4,true,true,true,true,1,1,3,1,5,1,16,6,-1,-1,-1,2,0,1,575,574,1,North,6,6,6,8,false,false,false,true,true,false,false,false,North
16,5,true,false,true,false,1,1,3,1,5,1,16,6,-1,-1,-1,1,0,1,574,673,0,North,6,6,6,8,false,false,false,true,true,false,false,false,North
1,18,false,true,true,false,5,9,11,3,17,6,25,7,19,25,28,35,0,4,0,-1,4,Stop,4,4,4,4,true,false,false,false,false,false,true,false,South
1,17,true,false,true,false,5,9,11,3,17,6,25,7,18,24,27,34,0,4,-1,-2,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,16,true,true,true,false,5,9,11,3,17,6,25,7,17,23,26,33,0,4,-2,-3,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,15,true,true,true,false,5,9,11,3,17,6,25,7,16,22,25,32,0,4,-3,-4,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,14,true,true,true,false,5,9,11,3,17,6,25,7,15,21,24,31,0,4,-4,-5,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,13,true,false,true,false,5,9,11,3,17,6,25,7,14,20,23,30,0,4,-5,-6,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,12,true,true,true,false,5,9,11,3,17,6,25,7,13,19,22,29,0,4,-6,-7,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,11,true,false,true,false,5,9,11,3,17,6,25,7,12,18,23,30,0,4,-7,-8,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,10,true,false,true,false,5,9,11,3,17,6,25,7,11,17,24,31,0,4,-8,-9,4,South,4,4,4,4,true,false,false,false,false,false,true,false,South
1,9,true,false,true,false,5,9,11,3,17,6,25,7,10,16,25,32,0,4,-9,-10,4,South,3,4,4,4,true,false,false,false,false,false,true,false,South
1,8,true,false,true,false,5,9,11,3,17,6,25,7,9,15,26,33,0,4,-10,-11,4,South,2,4,4,4,true,false,false,false,false,false,true,false,South
1,7,true,false,true,false,5,9,11,3,17,6,25,7,8,14,27,34,0,4,-11,-12,4,South,2,4,4,3,true,false,false,false,false,false,true,false,South
1,6,true,true,true,false,5,9,11,3,17,6,25,7,7,13,28,35,0,4,-12,-13,4,South,2,4,3,2,true,false,false,false,false,true,false,false,East
2,6,false,true,true,true,5,9,11,3,17,6,25,7,6,12,27,34,0,4,-13,-14,4,East,2,4,3,2,true,false,false,false,false,true,false,false,East
3,6,true,true,true,true,5,9,11,3,17,6,25,7,5,11,26,33,0,4,-14,-15,4,East,2,4,3,2,true,false,false,false,false,true,false,false,East
4,6,true,true,true,true,5,9,11,3,17,6,25,7,4,10,25,32,0,4,-15,-16,4,East,2,4,3,2,true,false,false,false,false,true,false,false,East
5,6,true,true,true,true,5,9,11,3,17,6,25,7,3,9,24,31,0,4,-16,-17,4,East,8,4,3,2,true,false,false,false,true,false,false,false,North
5,7,true,true,true,true,5,9,11,3,17,6,25,7,2,10,25,32,0,4,-17,-18,4,North,8,4,4,3,true,false,false,false,true,false,false,false,North
5,8,true,true,true,true,5,9,11,3,17,6,25,7,1,11,26,33,0,4,-18,81,3,North,8,4,4,4,true,false,false,false,true,false,false,false,North
5,9,true,true,true,true,1,1,11,3,17,6,25,7,-1,12,27,34,0,3,181,180,3,North,6,4,4,4,false,true,false,false,false,true,false,false,East
6,9,true,false,true,true,1,1,11,3,17,6,25,7,-1,11,26,33,0,3,180,179,3,East,6,4,4,4,false,true,false,false,false,false,true,false,South
6,8,true,false,true,true,1,1,11,3,17,6,25,7,-1,10,25,32,0,3,179,178,3,South,6,4,4,4,false,true,false,false,false,false,true,false,South
6,7,true,false,true,true,1,1,11,3,17,6,25,7,-1,9,24,31,0,3,178,177,3,South,6,4,4,3,false,true,false,false,false,false,true,false,South
6,6,true,true,false,true,1,1,11,3,17,6,25,7,-1,8,23,30,0,3,177,176,3,South,6,4,3,2,false,true,false,false,false,true,false,false,East
7,6,false,true,false,true,1,1,11,3,17,6,25,7,-1,7,22,29,0,3,176,175,3,East,6,4,3,2,false,true,false,false,false,true,false,false,East
8,6,true,true,true,true,1,1,11,3,17,6,25,7,-1,6,21,28,0,3,175,174,3,East,6,4,3,2,false,true,false,false,false,true,false,false,East
9,6,true,true,true,true,1,1,11,3,17,6,25,7,-1,5,20,27,0,3,174,173,3,East,6,4,3,2,false,true,false,false,false,true,false,false,East
10,6,true,true,true,true,1,1,11,3,17,6,25,7,-1,4,19,26,0,3,173,172,3,East,6,4,3,2,false,true,false,false,false,true,false,false,East
11,6,true,false,true,true,1,1,11,3,17,6,25,7,-1,3,18,25,0,3,172,171,3,East,6,5,3,2,false,true,false,false,false,false,true,false,South
11,5,true,false,true,true,1,1,11,3,17,6,25,7,-1,2,19,26,0,3,171,170,3,South,6,5,2,2,false,true,false,false,false,false,true,false,South
11,4,true,false,true,true,1,1,11,3,17,6,25,7,-1,1,20,27,0,3,170,269,2,South,6,5,2,2,false,true,false,false,false,false,true,false,South
11,3,true,false,false,true,1,1,3,1,17,6,25,7,-1,-1,21,28,0,2,369,368,2,South,6,6,2,2,false,false,true,false,true,false,false,false,North
11,4,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,20,27,0,2,368,367,2,North,6,6,2,2,false,false,true,false,true,false,false,false,North
11,5,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,19,26,0,2,367,366,2,North,6,6,2,2,false,false,true,false,true,false,false,false,North
11,6,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,18,25,0,2,366,365,2,North,6,6,3,2,false,false,true,false,true,false,false,false,North
11,7,true,false,true,true,1,1,3,1,17,6,25,7,-1,-1,17,24,0,2,365,364,2,North,6,6,4,3,false,false,true,false,true,false,false,false,North
